specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
64 	1.379861e+01 	5.088189e+01 	4.460438e+00 	4.341582e+01 	5.612423e+01 	-3684800000000000 	4175233083645692 	7.841700e+41 	8.195124e+42 	3.681600e-04 	2.332293e+00 	1.426629e+00 	1.035239e-01 	1.458405e-01 	12831904942632704 	11798789157208296 	6378271189914343 	6411690167500731 	8113989157208296 	6.651359e+14 
65 	1.380722e+01 	5.087918e+01 	4.461771e+00 	5.820906e+01 	5.617724e+01 	-5759500000000000 	1.415071e+15 	7.030200e+41 	7.974536e+42 	3.541300e-04 	2.440114e+00 	1.427196e+00 	1.326847e-01 	1.460310e-01 	12807401048429224 	11771038805015368 	4959322981578153 	4938283806731039 	6011538805015368 	6.270403e+14 
66 	1.381583e+01 	5.087559e+01 	4.464271e+00 	6.483467e+01 	5.622802e+01 	-5708400000000000 	5529007208253638 	8.753400e+41 	8.530497e+42 	3.630700e-04 	2.567130e+00 	1.427740e+00 	1.694496e-01 	1.462135e-01 	12782897154225744 	11743288452822440 	4969870883194589 	4955032333468540 	6034888452822440 	636045520718697 
67 	1.382444e+01 	5.086950e+01 	4.468503e+00 	6.488649e+01 	5.627882e+01 	-2425700000000000 	1.255419e+15 	5.878300e+41 	9.415940e+42 	3.484800e-04 	2.568845e+00 	1.428283e+00 	1.699798e-01 	1.463961e-01 	12758393260022264 	11715538100629512 	7248556561609227 	7234344218903018 	9289838100629512 	6.835227e+14 
68 	1.383306e+01 	5.086276e+01 	4.473200e+00 	6.515542e+01 	5.632932e+01 	-4791000000000000 	-9.991159e+14 	7.955200e+41 	8.285408e+42 	3.638100e-04 	2.575679e+00 	1.428824e+00 	1.720033e-01 	1.465776e-01 	12733886520168552 	11687784525773464 	5562493536608504 	5559039008213682 	6896784525773464 	6.453180e+14 
69 	1.384167e+01 	5.086053e+01 	4.474583e+00 	6.285755e+01 	5.638336e+01 	-7039600000000000 	1.321926e+14 	8.709300e+41 	6.906588e+42 	3.625900e-04 	2.521967e+00 	1.429402e+00 	1.563630e-01 	1.467718e-01 	12709382625965072 	11660034173580536 	3.952890e+15 	3966541705266320 	4620434173580536 	636324423584107 
70 	1.385028e+01 	5.085902e+01 	4.475046e+00 	5.268067e+01 	5.643638e+01 	-4611500000000000 	-618041446690372 	7.190800e+41 	6.347408e+42 	3.688600e-04 	2.401650e+00 	1.429969e+00 	1.224295e-01 	1.469623e-01 	12684878731761592 	11632283821387608 	5619203947350499 	5645840819478553 	7020783821387608 	6.492056e+14 
71 	1.385889e+01 	5.085795e+01 	4.475187e+00 	4.658482e+01 	5.648987e+01 	-5178500000000000 	-2.326766e+15 	9.194500e+41 	6.368330e+42 	3.652800e-04 	2.357682e+00 	1.430542e+00 	1.105838e-01 	1.471546e-01 	12660374837558112 	11604533469194680 	5217351136308584 	5230099535989314 	6426033469194680 	6.405089e+14 
72 	1.386750e+01 	5.085738e+01 	4.475231e+00 	4.472878e+01 	5.654388e+01 	-5385800000000000 	-2.780509e+15 	8.479600e+41 	6.573830e+42 	3.816700e-04 	2.344536e+00 	1.431120e+00 	1.070634e-01 	1.473487e-01 	12635870943354632 	11576783117001752 	5047660545509906 	5066013570559321 	6190983117001752 	6.529942e+14 
73 	1.387611e+01 	5.085680e+01 	4.475299e+00 	4.634405e+01 	5.659804e+01 	-5896800000000000 	-2650201726453167 	1.389400e+42 	7.039753e+42 	3.475800e-04 	2.356632e+00 	1.431699e+00 	1.103593e-01 	1.475434e-01 	12611367049151152 	11549032764808824 	4662576754817081 	4689929215579097 	5652232764808824 	6.204138e+14 
74 	1.388472e+01 	5.085605e+01 	4.475413e+00 	4.765709e+01 	5.665222e+01 	-7507300000000000 	-4.102513e+15 	1.057600e+42 	7.528060e+42 	3.718700e-04 	2.366532e+00 	1.432279e+00 	1.130621e-01 	1.477381e-01 	12586863154947672 	11521282412615896 	3.525810e+15 	3546490665072431 	4013982412615896 	6.495153e+14 
75 	1.389333e+01 	5.085503e+01 	4.475635e+00 	5.020412e+01 	5.670635e+01 	-8004500000000000 	-4262145543137356 	5.242500e+41 	8.042686e+42 	3.635600e-04 	2.385411e+00 	1.432858e+00 	1.181882e-01 	1.479326e-01 	12562359260744192 	11493532060422968 	3.163523e+15 	3.180957e+15 	3489032060422968 	6.493025e+14 
